,experiment,human_role,map,game_time,is_time_success,user_num_of_uter,user_mean_uter,user_total_uter,user_num_of_en,user_num_of_es,user_num_of_mix,user_num_of_inter_cs,% entrainment - all dialog,% entrainment - on bot inter-sentential cs,bot_num_of_uter,bot_mean_uter,bot_total_uter,bot_num_of_en,bot_num_of_es,bot_num_of_mix,bot_num_of_inter_cs,How much did you enjoy the task?,How successful do you think you were at completing the task?,dist_score
32,Alternation #4,instructor,0,413,1,6,20.5,123,6,0,0,0,1.0,0,7,31.285714285714285,219,7,0,0,0,41,69,
33,Alternation #4,navigator,1,420,0,17,7.117647058823529,121,17,0,0,0,1.0,0,18,40.833333333333336,735,18,0,0,0,0,0,0.9710144927536232
34,Alternation #4,instructor,2,413,1,5,26.6,133,5,0,0,0,1.0,0,6,46.0,276,6,0,0,0,61,79,0.9710144927536232
35,Alternation #4,navigator,3,420,0,13,9.923076923076923,129,13,0,0,0,1.0,0,14,33.5,469,13,0,1,0,68,70,0.9866666666666667
36,Short-context CS,instructor,0,222,1,8,11.375,91,1,7,0,1,0.5,0.4,14,8.214285714285714,115,5,8,1,6,91,100,
37,Short-context CS,navigator,1,231,1,10,1.5,15,5,5,0,5,0.9,0.8333333333333334,18,13.444444444444445,242,9,8,1,7,64,100,0.4057971014492754
38,Short-context CS,instructor,2,291,1,7,18.571428571428573,130,7,0,0,0,0.5714285714285714,0.5,15,7.933333333333334,119,10,4,1,7,79,100,0.4057971014492754
39,Short-context CS,navigator,3,277,1,11,1.6363636363636365,18,7,4,0,3,0.8181818181818182,0.5714285714285714,21,13.333333333333334,280,11,7,3,7,30,80,1.0
40,GPT instructor #1,navigator,0,242,1,9,1.1111111111111112,10,9,0,0,0,1.0,0,10,35.4,354,10,0,0,0,96,92,0.8780487804878049
41,GPT instructor #1,navigator,1,206,1,7,2.2857142857142856,16,7,0,0,0,1.0,0,8,51.375,411,8,0,0,0,99,100,1.4492753623188406
42,GPT instructor #1,navigator,2,132,1,5,1.4,7,5,0,0,0,1.0,0,6,46.166666666666664,277,6,0,0,0,100,100,1.2
43,Align Last User CS,instructor,0,248,1,9,12.666666666666666,114,9,0,0,0,1.0,0,13,10.307692307692308,134,11,0,2,0,92,86,
44,Align Last User CS,navigator,1,242,1,12,4.333333333333333,52,8,2,2,2,0.8333333333333334,1.0,20,13.2,264,16,3,1,3,67,78,0.7101449275362319
45,Align Last User CS,instructor,2,145,1,7,11.0,77,5,1,1,1,0.8571428571428571,1.0,13,7.230769230769231,94,10,3,0,1,79,100,0.7101449275362319
46,Align Last User CS,navigator,3,241,1,14,4.428571428571429,62,14,0,0,0,1.0,0,27,11.444444444444445,309,26,0,1,0,38,85,0.96
47,Switch Last User CS,instructor,0,420,0,7,17.714285714285715,124,4,0,3,0,0.8571428571428571,0.8,13,10.76923076923077,140,6,6,1,5,81,55,
48,Switch Last User CS,navigator,1,409,1,11,6.636363636363637,73,10,0,1,0,0.2727272727272727,0.5,21,13.80952380952381,290,2,18,1,2,86,97,0.7101449275362319
49,Switch Last User CS,instructor,2,209,1,6,15.0,90,5,0,1,0,0.3333333333333333,0.0,12,6.083333333333333,73,2,8,2,1,100,100,0.7101449275362319
50,Switch Last User CS,navigator,3,378,1,11,5.363636363636363,59,10,1,0,1,0.2727272727272727,0.5,18,13.666666666666666,246,2,14,2,2,83,90,0.8666666666666667
51,Baseline,instructor,0,131,1,8,11.875,95,8,0,0,0,0.875,1.0,13,7.230769230769231,94,12,1,0,1,91,100,
52,Baseline,navigator,1,246,1,13,3.769230769230769,49,13,0,0,0,0.9230769230769231,1.0,25,11.44,286,24,1,0,1,77,100,0.7391304347826086
53,Baseline,instructor,2,126,1,8,12.125,97,8,0,0,0,1.0,0,14,7.0,98,12,0,2,0,95,96,0.7391304347826086
54,Baseline,navigator,3,211,1,11,2.3636363636363638,26,11,0,0,0,1.0,0,19,15.157894736842104,288,18,0,1,0,73,87,1.36
55,Switch Last User CS,instructor,0,420,0,5,12.2,61,3,2,0,4,1.0,1.0,10,10.7,107,4,5,1,4,28,12,
56,Switch Last User CS,navigator,1,420,0,12,3.3333333333333335,40,10,2,0,2,0.4166666666666667,0.0,22,12.772727272727273,281,4,14,4,2,1,1,0.9855072463768116
57,Switch Last User CS,instructor,2,164,1,5,13.4,67,5,0,0,0,0.2,0,11,7.545454545454546,83,0,9,2,0,76,97,0.9855072463768116
58,Switch Last User CS,navigator,3,374,1,10,4.5,45,9,0,1,0,0.2,0,18,14.88888888888889,268,0,16,2,0,82,99,0.9866666666666667
59,Baseline,instructor,0,286,1,9,7.666666666666667,69,1,3,5,1,0.8888888888888888,0,17,7.647058823529412,130,0,16,0,0,76,94,
60,Baseline,navigator,1,236,1,12,2.9166666666666665,35,12,0,0,0,1.0,0,17,13.117647058823529,223,16,0,1,0,73,73,0.9855072463768116
61,Baseline,instructor,2,108,1,6,5.166666666666667,31,6,0,0,0,0.8333333333333334,1.0,11,9.272727272727273,102,10,1,0,1,70,100,0.9855072463768116
62,Baseline,navigator,3,177,1,11,2.4545454545454546,27,11,0,0,0,0.9090909090909091,1.0,21,10.095238095238095,212,20,1,0,1,77,87,0.9733333333333334
63,Short-context CS,instructor,0,420,0,5,12.6,63,0,2,3,0,0.8,0.5,11,10.545454545454545,116,6,2,3,3,72,42,
64,Short-context CS,navigator,1,420,0,11,4.454545454545454,49,10,0,0,0,0.6363636363636364,0.5,21,14.380952380952381,302,14,5,2,9,72,80,0.9855072463768116
65,Short-context CS,instructor,2,248,1,11,14.636363636363637,161,11,0,0,0,0.6363636363636364,0.5,18,7.333333333333333,132,11,5,2,9,90,95,0.9855072463768116
66,Short-context CS,navigator,3,420,0,12,6.75,81,11,1,0,1,0.5,0.45454545454545453,23,11.043478260869565,254,16,6,1,12,33,29,0.9866666666666667
67,GPT instructor #2,navigator,0,413,1,12,12.166666666666666,146,11,1,0,2,0.9166666666666666,0,13,43.92307692307692,571,13,0,0,0,4,100,1.5731707317073171
68,GPT instructor #2,navigator,1,360,1,12,8.666666666666666,104,12,0,0,0,1.0,0,13,38.46153846153846,500,13,0,0,0,70,100,1.8840579710144927
69,GPT instructor #2,navigator,2,242,1,8,12.125,97,8,0,0,0,1.0,0,9,41.333333333333336,372,9,0,0,0,100,100,1.4
70,GPT instructor #2,navigator,0,361,1,16,2.625,42,16,0,0,0,1.0,0,17,30.058823529411764,511,17,0,0,0,71,85,0.7560975609756098
71,GPT instructor #2,navigator,1,313,1,12,3.8333333333333335,46,12,0,0,0,1.0,0,13,33.23076923076923,432,13,0,0,0,60,99,0.927536231884058
72,GPT instructor #2,navigator,2,420,0,15,2.8666666666666667,43,15,0,0,0,1.0,0,14,34.642857142857146,485,14,0,0,0,51,59,1.3333333333333333
73,Short-context CS,instructor,0,224,1,7,13.857142857142858,97,2,1,4,0,0.8571428571428571,0.6666666666666666,14,10.714285714285714,150,7,5,2,7,86,82,
74,Short-context CS,navigator,1,420,0,10,3.2,32,2,5,3,2,1.0,1.8,12,15.5,186,3,8,1,6,23,3,0.9855072463768116
75,Short-context CS,instructor,2,231,1,5,12.2,61,3,1,1,1,0.6,0.3333333333333333,11,8.818181818181818,97,6,4,1,7,86,44,0.9855072463768116
76,Short-context CS,navigator,3,321,1,13,2.4615384615384617,32,9,0,4,0,0.6923076923076923,0.6363636363636364,23,11.391304347826088,262,16,6,1,12,86,72,0.92
77,Short-context CS,instructor,0,243,1,6,11.833333333333334,71,2,3,1,3,1.0,1.0,12,10.5,126,4,8,0,6,100,100,
78,Short-context CS,navigator,1,304,1,10,5.9,59,6,3,1,5,1.0,1.0,21,13.19047619047619,277,15,4,2,8,100,100,0.6376811594202898
79,Short-context CS,instructor,2,145,1,6,11.333333333333334,68,4,0,2,0,0.8333333333333334,0.6666666666666666,13,7.6923076923076925,100,7,2,4,3,100,100,0.6376811594202898
80,Short-context CS,navigator,3,252,1,9,6.111111111111111,55,9,0,0,0,0.4444444444444444,0.42857142857142855,16,11.375,182,10,4,1,7,100,100,0.9333333333333333
81,Random CS,instructor,0,317,1,6,12.666666666666666,76,0,4,2,0,0.6666666666666666,0.5,13,8.846153846153847,115,8,4,1,3,91,100,
82,Random CS,navigator,1,420,0,13,1.2307692307692308,16,7,6,0,5,0.8461538461538461,0.6,25,12.04,301,12,13,0,6,28,85,0.9855072463768116
83,Random CS,instructor,2,363,1,6,20.166666666666668,121,0,6,0,0,0.5,0.5,12,8.666666666666666,104,5,5,2,3,92,100,0.9855072463768116
84,Random CS,navigator,3,420,0,13,1.3076923076923077,17,9,4,0,5,0.6923076923076923,0.75,27,11.185185185185185,302,6,16,5,4,100,100,0.9866666666666667
85,Alternation #5,instructor,0,300,1,7,16.0,112,7,0,0,0,1.0,0,14,9.142857142857142,128,13,0,1,0,89,95,
86,Alternation #5,navigator,1,411,1,16,3.0625,49,15,1,0,2,0.875,0,32,10.78125,345,30,0,1,0,27,49,0.9130434782608695
87,Alternation #5,instructor,2,319,1,7,12.285714285714286,86,7,0,0,0,1.0,0,13,6.384615384615385,83,12,0,1,0,84,81,0.9130434782608695
88,Alternation #5,navigator,3,375,1,17,2.0,34,10,1,0,2,0.5882352941176471,0,29,10.448275862068966,303,26,0,3,0,49,86,0.7866666666666666
89,Baseline,instructor,0,184,1,6,5.833333333333333,35,4,1,1,1,1.0,0,13,8.538461538461538,111,12,0,1,0,62,72,
90,Baseline,navigator,1,420,0,8,1.625,13,4,3,1,4,0.5,0,14,16.642857142857142,233,0,13,1,0,39,49,0.9855072463768116
91,Baseline,instructor,2,253,1,5,10.2,51,0,5,0,0,1.0,0,11,8.272727272727273,91,0,10,1,0,62,72,0.9855072463768116
92,Baseline,navigator,3,420,0,12,2.1666666666666665,26,3,5,4,3,0.75,0.5,16,13.9375,223,1,15,0,2,50,41,0.9866666666666667
93,GPT navigator #2,instructor,0,211,1,9,12.11111111111111,109,9,0,0,0,1.0,0,10,26.9,269,10,0,0,0,61,100,
94,GPT navigator #2,instructor,1,203,1,8,10.5,84,8,0,0,0,1.0,0,8,33.25,266,8,0,0,0,44,80,
95,GPT navigator #2,instructor,2,232,1,12,8.083333333333334,97,12,0,0,0,1.0,0,13,22.846153846153847,297,13,0,0,0,67,69,
96,Random CS,instructor,0,299,1,6,17.0,102,2,3,1,1,1.0,1.0,12,11.75,141,6,6,0,1,87,98,
97,Random CS,navigator,1,339,1,6,5.833333333333333,35,3,3,0,1,1.0,0,11,13.818181818181818,152,6,4,1,0,33,37,0.8985507246376812
98,Random CS,instructor,2,278,1,4,21.0,84,0,2,2,0,1.0,0,8,6.75,54,0,6,2,0,90,96,0.8985507246376812
99,Random CS,navigator,3,420,0,10,6.6,66,5,4,1,5,1.0,1.0,18,12.0,216,7,8,3,5,61,39,0.9866666666666667
100,Align Last User CS,instructor,0,420,0,4,7.25,29,0,4,0,0,1.0,0,7,14.0,98,0,7,0,0,99,0,
101,Align Last User CS,navigator,1,420,0,4,3.0,12,0,3,1,0,1.0,0,9,12.11111111111111,109,0,8,1,0,100,0,0.9855072463768116
102,Align Last User CS,instructor,2,264,1,11,4.636363636363637,51,0,10,1,0,1.0,0,22,7.318181818181818,161,0,20,2,0,100,100,0.9855072463768116
103,Align Last User CS,navigator,3,420,0,11,4.7272727272727275,52,0,6,5,0,1.0,0,20,13.35,267,0,17,3,0,99,18,0.9866666666666667
104,Align Last User CS,instructor,0,318,1,8,6.875,55,8,0,0,0,1.0,0,14,7.357142857142857,103,13,0,1,0,68,83,
105,Align Last User CS,navigator,1,420,0,9,3.6666666666666665,33,9,0,0,0,1.0,0,18,14.444444444444445,260,17,0,1,0,4,5,0.9855072463768116
106,Align Last User CS,instructor,2,193,1,5,5.8,29,5,0,0,0,0.8,1.0,9,5.444444444444445,49,8,1,0,1,61,91,0.9855072463768116
107,Align Last User CS,navigator,3,420,0,8,3.5,28,8,0,0,0,1.0,0,15,13.466666666666667,202,14,0,1,0,14,6,0.9866666666666667
108,Random CS,instructor,0,153,1,7,6.428571428571429,45,5,1,1,1,0.8571428571428571,0.6666666666666666,15,9.933333333333334,149,10,4,1,4,72,92,
109,Random CS,navigator,1,362,1,11,4.363636363636363,48,9,1,1,1,1.0,1.0,20,13.0,260,15,4,1,2,57,71,0.6666666666666666
110,Random CS,instructor,2,89,1,5,4.6,23,2,3,0,2,1.0,1.0,11,6.545454545454546,72,3,6,1,1,63,100,0.6666666666666666
111,Random CS,navigator,3,169,1,9,1.0,9,8,0,0,0,0.5555555555555556,0,17,14.058823529411764,239,9,5,3,0,15,88,1.5733333333333333
112,Align Last User CS,instructor,0,74,1,5,4.2,21,5,0,0,0,1.0,0,11,9.0,99,10,0,1,0,58,90,
113,Align Last User CS,navigator,1,37,1,0,0,0.0,0,0,0,0,0,0,1,3.0,3,0,0,1,0,72,83,1.0869565217391304
114,Align Last User CS,instructor,2,64,1,6,6.166666666666667,37,6,0,0,0,1.0,0,10,6.4,64,9,0,1,0,75,70,1.0869565217391304
115,Align Last User CS,navigator,3,33,1,0,0,0.0,0,0,0,0,0,0,1,6.0,6,0,0,1,0,73,74,1.16
116,Switch Last User CS,instructor,0,274,1,9,5.222222222222222,47,4,4,1,4,0.7777777777777778,0.8,18,10.38888888888889,187,7,8,2,5,100,100,
117,Switch Last User CS,navigator,1,420,0,12,6.25,75,11,1,0,1,0.3333333333333333,0.5,19,14.31578947368421,272,2,14,3,2,95,39,0.9855072463768116
118,Switch Last User CS,instructor,2,285,1,7,7.142857142857143,50,5,2,0,2,0.42857142857142855,0.0,14,8.071428571428571,113,4,9,1,2,100,100,0.9855072463768116
119,Switch Last User CS,navigator,3,420,0,13,3.8461538461538463,50,7,1,4,1,0.6923076923076923,1.0,26,11.423076923076923,297,4,17,5,3,100,76,0.9866666666666667
120,Switch Last User CS,instructor,0,389,1,8,8.875,71,7,0,1,0,0.25,0.0,15,8.2,123,2,11,2,1,82,100,
121,Switch Last User CS,navigator,1,420,0,10,4.1,41,2,4,3,2,0.6,0.75,18,12.5,225,13,3,2,4,42,24,0.9855072463768116
122,Switch Last User CS,instructor,2,381,1,8,10.125,81,7,0,1,0,0.25,0,17,5.823529411764706,99,0,16,1,0,55,100,0.9855072463768116
123,Switch Last User CS,navigator,3,420,0,8,4.625,37,4,3,1,3,0.875,0.75,14,13.071428571428571,183,7,6,1,5,29,5,0.9866666666666667
124,GPT instructor #2,navigator,0,223,1,6,8.5,51,6,0,0,0,1.0,0,7,18.285714285714285,128,7,0,0,0,28,25,3.8780487804878048
125,GPT instructor #2,navigator,1,420,0,16,9.4375,151,16,0,0,0,1.0,0,17,35.11764705882353,597,17,0,0,0,31,33,1.7826086956521738
126,GPT instructor #2,navigator,2,266,1,9,6.555555555555555,59,9,0,0,0,1.0,0,10,29.8,298,10,0,0,0,45,84,1.0888888888888888
127,Alternation #1,instructor,0,289,1,6,16.333333333333332,98,6,0,0,0,1.0,0,7,24.142857142857142,169,7,0,0,0,69,83,
128,Alternation #1,navigator,1,420,0,15,5.8,87,15,0,0,0,1.0,0,16,27.4375,439,16,0,0,0,23,53,0.9855072463768116
129,Alternation #1,instructor,2,369,1,9,10.666666666666666,96,9,0,0,0,1.0,0,10,32.9,329,10,0,0,0,43,68,0.9855072463768116
130,Alternation #1,navigator,3,415,1,20,4.65,93,20,0,0,0,1.0,0,20,30.85,617,20,0,0,0,22,43,0.8666666666666667
131,Baseline,instructor,0,263,1,14,4.928571428571429,69,0,12,2,0,1.0,0,20,10.3,206,0,16,4,0,81,93,
132,Baseline,navigator,1,366,1,9,7.444444444444445,67,9,0,0,0,1.0,0,17,11.352941176470589,193,16,0,1,0,77,96,0.6376811594202898
133,Baseline,instructor,2,345,1,10,9.9,99,10,0,0,0,1.0,0,16,10.125,162,15,0,1,0,66,87,0.6376811594202898
134,Baseline,navigator,3,355,1,7,5.142857142857143,36,0,3,4,0,1.0,0,11,20.363636363636363,224,0,8,3,0,76,77,0.7866666666666666
135,Alternation #1,instructor,0,301,1,9,7.222222222222222,65,9,0,0,0,1.0,0,10,22.3,223,10,0,0,0,30,21,
136,Alternation #1,navigator,1,129,1,2,17.0,34,2,0,0,0,1.0,0,3,25.666666666666668,77,3,0,0,0,34,73,1.0144927536231885
137,Alternation #1,instructor,2,131,1,4,20.0,80,3,0,1,0,1.0,0,5,24.6,123,5,0,0,0,26,35,1.0144927536231885
138,Alternation #1,navigator,3,82,1,3,10.0,30,3,0,0,0,1.0,0,4,33.0,132,4,0,0,0,24,39,1.0666666666666667
139,GPT instructor #1,navigator,0,212,1,8,1.0,8,8,0,0,0,1.0,0,9,46.22222222222222,416,9,0,0,0,100,100,0.6585365853658537
140,GPT instructor #1,navigator,1,286,1,12,1.0,12,12,0,0,0,1.0,0,13,40.30769230769231,524,13,0,0,0,75,71,0.6521739130434783
141,GPT instructor #1,navigator,2,117,1,6,1.0,6,5,1,0,2,0.8333333333333334,0,7,44.285714285714285,310,7,0,0,0,27,41,1.2
142,GPT navigator #2,instructor,0,420,0,9,15.555555555555555,140,9,0,0,0,1.0,0,10,37.3,373,10,0,0,0,87,85,
143,GPT navigator #2,instructor,1,296,1,13,6.538461538461538,85,13,0,0,0,1.0,0,14,18.928571428571427,265,14,0,0,0,100,83,
144,GPT navigator #2,instructor,2,106,1,5,5.2,26,5,0,0,0,1.0,0,6,22.166666666666668,133,6,0,0,0,100,100,
145,Short-context CS,instructor,0,225,1,5,8.4,42,5,0,0,0,0.6,0.5,9,13.88888888888889,125,5,3,1,5,73,73,
146,Short-context CS,navigator,1,420,0,14,2.357142857142857,33,12,2,0,3,0.7142857142857143,0.5,21,13.857142857142858,291,8,10,3,10,44,57,0.9855072463768116
147,Short-context CS,instructor,2,293,1,7,7.428571428571429,52,4,2,1,1,0.7142857142857143,0.6,14,6.857142857142857,96,7,5,2,6,75,78,0.9855072463768116
148,Short-context CS,navigator,3,420,0,12,3.1666666666666665,38,9,2,1,1,0.8333333333333334,0.6,19,15.0,285,10,6,3,5,46,57,0.9866666666666667
149,Alternation #1,instructor,0,384,1,5,28.2,141,5,0,0,0,1.0,0,6,49.5,297,6,0,0,0,90,96,
150,Alternation #1,navigator,1,420,0,10,14.4,144,10,0,0,0,1.0,0,11,22.0,242,11,0,0,0,50,32,1.3478260869565217
151,Alternation #1,instructor,2,354,1,6,23.5,141,6,0,0,0,1.0,0,7,32.714285714285715,229,7,0,0,0,87,97,1.3478260869565217
152,Alternation #1,navigator,3,349,1,13,6.384615384615385,83,13,0,0,0,1.0,0,14,26.714285714285715,374,13,0,1,0,93,100,0.7066666666666667
153,Alternation #1,instructor,0,420,0,6,24.666666666666668,148,6,0,0,0,1.0,0,7,35.857142857142854,251,7,0,0,0,93,9,
154,Alternation #1,navigator,1,368,1,9,5.888888888888889,53,9,0,0,0,1.0,0,10,30.8,308,10,0,0,0,94,99,0.6086956521739131
155,Alternation #1,instructor,2,361,1,6,24.666666666666668,148,6,0,0,0,1.0,0,7,28.428571428571427,199,7,0,0,0,96,99,0.6086956521739131
156,Alternation #1,navigator,3,397,1,11,10.909090909090908,120,11,0,0,0,1.0,0,12,23.25,279,11,0,1,0,86,99,0.6133333333333333
157,Alternation #2,instructor,0,263,1,9,11.88888888888889,107,9,0,0,0,1.0,0,10,32.2,322,10,0,0,0,100,100,
158,Alternation #2,navigator,1,420,0,18,5.777777777777778,104,18,0,0,0,1.0,0,19,32.36842105263158,615,19,0,0,0,100,100,0.9855072463768116
159,Alternation #2,instructor,2,93,1,5,9.2,46,5,0,0,0,1.0,0,6,17.0,102,6,0,0,0,100,100,0.9855072463768116
160,Alternation #2,navigator,3,420,0,22,3.9545454545454546,87,22,0,0,0,1.0,0,23,30.304347826086957,697,23,0,0,0,51,100,0.9866666666666667
161,Alternation #3,instructor,0,388,1,13,8.307692307692308,108,13,0,0,0,1.0,0,14,37.07142857142857,519,14,0,0,0,81,86,
162,Alternation #3,navigator,1,338,1,15,3.466666666666667,52,15,0,0,0,1.0,0,16,22.3125,357,14,0,2,0,61,64,0.5507246376811594
163,Alternation #3,instructor,2,298,1,10,9.1,91,10,0,0,0,1.0,0,11,22.0,242,11,0,0,0,51,71,0.5507246376811594
164,Alternation #3,navigator,3,326,1,11,3.0,33,11,0,0,0,1.0,0,12,40.083333333333336,481,12,0,0,0,33,19,0.7066666666666667
165,Baseline,instructor,0,231,1,12,5.833333333333333,70,0,11,1,0,1.0,0,19,11.263157894736842,214,0,16,3,0,100,100,
166,Baseline,navigator,1,271,1,13,2.230769230769231,29,9,3,1,2,0.9230769230769231,0,24,15.041666666666666,361,20,0,4,0,15,91,1.3043478260869565
167,Baseline,instructor,2,220,1,10,11.5,115,10,0,0,0,1.0,0,19,9.736842105263158,185,14,0,5,0,100,100,1.3043478260869565
168,Baseline,navigator,3,239,1,11,4.2727272727272725,47,11,0,0,0,1.0,0,21,12.333333333333334,259,20,0,1,0,76,100,0.8533333333333334
169,Baseline,instructor,0,115,1,6,8.5,51,6,0,0,0,1.0,0,13,8.153846153846153,106,11,0,2,0,100,100,
170,Baseline,navigator,1,212,1,10,2.1,21,10,0,0,0,1.0,0,18,10.5,189,17,0,1,0,100,85,0.8695652173913043
171,Baseline,instructor,2,155,1,5,11.0,55,5,0,0,0,1.0,0,10,8.2,82,9,0,1,0,100,100,0.8695652173913043
172,Baseline,navigator,3,219,1,10,1.8,18,10,0,0,0,0.9,1.0,18,11.555555555555555,208,17,1,0,1,100,78,1.12
173,Alternation #4,instructor,0,201,1,7,14.857142857142858,104,7,0,0,0,1.0,0,8,37.5,300,8,0,0,0,100,100,
174,Alternation #4,navigator,1,212,1,12,4.833333333333333,58,12,0,0,0,1.0,0,12,18.916666666666668,227,12,0,0,0,100,100,0.6086956521739131
175,Alternation #4,instructor,2,170,1,6,16.166666666666668,97,6,0,0,0,1.0,0,7,26.428571428571427,185,7,0,0,0,100,100,0.6086956521739131
176,Alternation #4,navigator,3,395,1,15,5.8,87,15,0,0,0,1.0,0,16,33.5,536,15,0,1,0,56,100,1.2666666666666666
177,GPT instructor #1,navigator,0,297,1,6,2.8333333333333335,17,6,0,0,0,1.0,0,7,68.14285714285714,477,7,0,0,0,8,16,0.9878048780487805
178,GPT instructor #1,navigator,1,420,0,14,4.857142857142857,68,5,7,2,0,0.7142857142857143,0.5,15,53.0,795,11,2,2,4,89,5,0.9130434782608695
179,GPT instructor #1,navigator,2,420,0,5,5.8,29,3,0,2,0,1.0,0,6,38.833333333333336,233,5,0,1,0,72,13,1.0
180,Baseline,instructor,0,401,1,12,1.1666666666666667,14,10,0,2,0,1.0,0,18,13.555555555555555,244,17,0,1,0,96,90,
