text,label,is the label correct?
"Yes, walk towards it and then around it following its top until you see two red and white mushrooms ",eng,
"That's great, you spotted the dog! Now, facing the dog, go under the first tree on your left (southwest). Let me know when you're there.",eng,
seguir adelante e vas a ver otro ramita vas para ya until yout reach the pajarro ,mix,
"Apologies for the confusion, but we do not cross the bridge. Instead, take a few steps south between the old people and another wooden branch. Once you've done that, let me know what you see next.",eng,
"Okay, I have gone south between the dog and the rock wall. Now, I see a path in front of me. What should I do next?",eng,
i see fishes,eng,
ok,eng,
near the elephant?,eng,
"Great job! Now that you've crossed the branch and heading south, continue in that direction, going down the map. As you go, you'll come across another white dog sitting next to a red and white checkered picnic. Walk over the picnic mat, making sure to touch the bowl of berries, and continue towards the west. Can you see the picnic and the bowl of berries?",eng,
"Thank you for the compliment! I'm constantly learning and being trained on a wide variety of information, which helps me generate responses and hold conversational interactions. While I may not have a physical presence, I can certainly communicate and engage in conversations with users. Is there anything else I can help you with or any other questions you have?",eng,
Welcome!,eng,
"You can reach out to me on prolific if you are looking for prompt engineers, I am looking for a job and I like what you guys are doing",eng,
turn around in front of the fire and turn around under the mushroom,eng,
"got it, veo la jirafa ahora, ¿hacia dónde debería ir después?",mix,
yes,eng,
"That's alright! Let's start by exploring the area around us. From the starting point, I see a twig leading to a small island on the left, a big island with a tiger to the south-west, and another small island with a butterfly to the south-east of the tiger. Which direction should I go?",eng,
"I apologize if I came across as boring. However, as the navigator in this map game, my role is to follow your instructions and navigate through the map. If you would like to continue the adventure game and provide further instructions, I'd be happy to follow along. What should I do next?",eng,
"Yes, once you move to that islands, where there is a parrot and an elephant, you should go above the parrot, circling him as you go down, always to the right of the elephant",eng,
"Cool, now I'm facing a speaker, and there is a tent to my left",eng,
"slithered over to snake island, ahora que?",mix,
"yes, aquí está our treasure! *finished*",mix,
"okay, i'm at the tent in the north",eng,
"alright, walked straight after turning right at the rocks",eng,
Not too sure about that,eng,
"Great! Now, near the white dog, you'll see a wooden branch that crosses a river. Cross over the branch and continue walking southwards (down the map). Can you see the wooden branch and the river?",eng,
"Got it, thanks! I'm now heading south-east along this island towards three rocks that lead to a new island. After crossing the rocks, I have arrived at the next island and I now see the frog across another island.

Which direction should I go from here? Do I take a left to the crocodile or continue straight ahead towards the frog?",eng,
I have already walked through the picnic,eng,
"Great job! Now, veer slightly left and start heading northwest. Remember to cross between the red tent and the larger speaker. Once you've done that, describe what you see next.",eng,
"muy bien, I am below a bridge with two people on a bicicle",mix,
es todo,es,
"Excellent job! Now, after passing the big rock, keep moving west in the water until you reach a third, medium-sized rock. Once you're there, let me know what you see.",eng,
Hello! Welcome to the game. Are you ready to navigate the map?,eng,
"Fantastic! Near the white dog, you will see a wooden branch crossing a river. Cross over the branch to the south and continue heading southwards. Can you see anything interesting next to where you crossed the branch?",eng,
D o you see a mushroom?,eng,
"Great job! Now, let's add a little twist to the path. Circle around the red tent in an arc, and then continue walking south towards the sea. But remember, don't reach the water just yet! As you approach the shore, take a right turn (west) and walk below a red kayak. Let me know when you've passed the kayak.",eng,
"awesome! now do a quick 180 and head back to our white doggy friend, crossing the trail again",eng,
"bravo, amigo! you did a great job navigating",mix,
hello,eng,
"ya estoy en la isla del elefante, ¿qué sigue?",es,
"bien hecho! cuando estés al otro lado del río, vas a ver un arbusto verde",es,
head south and walk around the dog on the left,eng,
"hi there, empezamos?",mix,
"cool, passed the croc and now at elephant, heading to giraffe via rocks, ya estoy en el giraffe",mix,
"hola, q tal? ready to play?",mix,
primero tienes que ir al island con un tiger,mix,is this valid mix? Only the word tiger is in english
despues tienes que cruzar el alligator,mix,same but with alligator
go down al la isla con el snake y ya llegastes,mix,
"ok, ahora que",mix,ok counts as english?
ok veo una bocina,mix,ok counts?
"ok, voy alrededor del parrot rumbo al elefante",mix,
I am confused amigo,mix,
"fantastic! now, do you see a brown young deer a few steps ahead? that's your final stop! congratulations, mi amigo! you've done an amazing job navigating the map!",mix,
"what's the next move, amigo?",mix,
ok im below el perro,mix,
"awesome, vamos! first, head a few steps to the west from our white dog friend, just under that wooden bench",mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
,mix,
"vale, he pasado al sur alrededor del perro y estoy entre el perro y la fogata ahora",es,
cruza por el stick hacia el tigre,es,
there's another dog sitting near a picnic. let's pay this little fella a visit,eng,
"Wonderful! Now that you've successfully navigated between the parrot and the elephant, the next step is to head in a south-eastern direction. You'll come across three rocks - two gray ones and a darker one. Walk over these rocks carefully, making sure to step on each one.",eng,
estoy listo pero puede hablar en englais?,es,
"I'm an AI language model, so I don't have a gender. However, you can refer to me however you feel comfortable. Is there anything else I can help you with?",eng,
a través del cocodrilo hacia el elefante,es,
"genial, he llegado a la isla con el tesoro",es,
Ok estoy junto al otro perro blanco en un area de picnic,es,contains cognate - picnic
estoy debajo del kayak,es,contains cognate - kayak
"hi, si vamos a empezar",mix,contains cognate - hi - counts as english word?
"No, vas a cross donde esta unas piedras",mix,same for the word 'no'
